#
# 10 pt results for the 2DHEG:
# Wigner-Seitz radius rs = 2.0
# The reference energy is -0.0280103 Ry
#

nsh		partnum		    Magnus(2/3)		 Magnus(2/3)[T]
		1.800000000000e+01  -4.457944769772e-02  -4.838365085967e-02
		1.800000000000e+01  -4.457944769772e-02  -4.838365085967e-02
		2.600000000000e+01  -7.786193982656e-02  -8.229148969864e-02
		4.200000000000e+01  -1.097433103691e-01  -1.247581059013e-01
		5.000000000000e+01  -1.193383137232e-01  -1.339644199111e-01
		5.800000000000e+01  -1.226152010981e-01  -1.387957991502e-01
		7.400000000000e+01  -1.321755846182e-01  -1.480507152645e-01
		9.000000000000e+01  -1.348797074498e-01  -1.514033299584e-01
10		9.800000000000e+01  -1.356389946808e-01  -1.522692180646e-01
20		2.420000000000e+02  -1.399585744707e-01  -1.574825149226e-01
30		3.940000000000e+02  -1.407078056942e-01  -1.583809928290e-01
